Number,Collision_Date,Collision_Time,Day_Of_Week,Longitude,Latitude
381,2022-04-26,08:03:05,Tuesday,-117.11327,32.78166
382,2020-11-09,05:02:08,Monday,-117.16918,32.76109
383,2020-11-07,22:02:03,Saturday,-117.25459,32.79363
384,2022-04-25,04:04:04,Monday,-117.18726,32.8615
385,2020-11-04,22:05:02,Wednesday,-117.25134,32.79576
386,2022-04-11,15:01:00,Monday,-117.19638,32.87104
387,2022-05-20,07:04:00,Friday,-117.14129,32.76881
388,2022-05-24,11:03:05,Tuesday,-117.15622,32.73832
389,2022-05-14,04:03:00,Saturday,-117.23116,32.91507
390,2022-05-25,17:01:00,Wednesday,-117.1375,32.71305
391,2022-05-14,15:05:00,Saturday,-117.11372,32.78022
392,2022-06-19,19:04:06,Sunday,-117.11196,32.77423
393,2022-07-04,04:02:05,Monday,-117.14857,32.78895
394,2022-05-31,16:02:05,Tuesday,-117.10897,32.75609
395,2022-07-11,16:00:00,Monday,-117.10883,32.71823
396,2022-07-19,21:03:08,Tuesday,-117.06078,32.73203
397,2022-08-10,16:02:05,Wednesday,-117.19696,32.87165
398,2022-08-07,04:01:00,Sunday,-117.09664,32.70737
399,2022-08-08,07:00:00,Monday,-117.24457,32.94977
400,2020-11-07,08:05:02,Saturday,-117.23281,32.76414
401,2020-11-14,13:01:05,Saturday,-117.08829,32.7023
402,2022-08-25,01:02:00,Thursday,-117.11519,32.72373
403,2022-08-31,11:02:00,Wednesday,-117.21726,32.84123
404,2022-09-03,08:01:05,Saturday,-117.13336,32.77361
405,2022-09-04,11:04:00,Sunday,-117.21548,32.7584
406,2022-09-07,13:00:00,Wednesday,-117.07595,32.56419
407,2022-09-09,07:02:05,Friday,-117.09931,32.71022
409,2022-09-07,14:02:05,Wednesday,-117.11399,32.68715
410,2022-09-14,06:03:00,Wednesday,-117.14889,32.7209
411,2022-09-11,01:04:00,Sunday,-117.16236,32.7675
412,2022-09-27,02:04:05,Tuesday,-117.22476,32.9053
413,2022-09-30,12:04:00,Friday,-117.08373,32.98373
414,2022-10-25,18:04:04,Tuesday,-117.12731,32.69445
415,2022-10-27,11:00:00,Thursday,-117.15602,32.73645
416,2022-10-27,15:01:08,Thursday,-117.22821,32.93743
417,2022-11-02,09:01:00,Wednesday,-117.1621,32.83979
418,2022-11-02,09:00:03,Wednesday,-117.11638,32.71636
419,2022-01-09,19:01:04,Sunday,-117.19875,32.75288
420,2022-11-07,18:02:06,Monday,-117.117,32.77827
421,2022-11-27,14:03:06,Sunday,-117.05975,32.77838
422,2022-12-01,20:00:00,Thursday,-117.08962,32.65471
424,2022-10-03,15:03:01,Monday,-117.05362,32.77719
425,2022-12-13,07:04:05,Tuesday,-117.17944,32.84765
426,2022-12-24,02:03:00,Saturday,-117.09836,32.70919
427,2020-11-19,15:01:05,Thursday,-117.18363,32.76628
428,2020-11-21,13:01:06,Saturday,-117.20617,32.7497
429,2022-11-11,02:50:00,Friday,-117.14961,32.95653
430,2022-09-21,11:01:06,Wednesday,-117.20676,32.78794
431,2020-12-21,21:03:07,Monday,-117.10191,32.75522
432,2020-12-06,10:04:05,Sunday,-117.18636,32.81776
433,2020-12-11,10:04:09,Friday,-117.15038,32.71367
434,2020-06-13,08:00:00,Saturday,-117.25058,32.87099
435,2020-10-26,15:03:05,Monday,-117.08856,32.71039
436,2020-10-10,17:05:08,Saturday,-117.13712,32.71162
437,2021-01-09,11:00:02,Saturday,-117.10569,32.74968
438,2021-01-17,06:05:00,Sunday,-117.0454,32.68707
439,2020-01-18,09:00:06,Saturday,-117.16219,32.74079
440,2021-02-07,18:03:06,Sunday,-117.2152,32.80185
441,2021-02-07,21:01:00,Sunday,-117.21769,32.73825
442,2021-02-17,15:04:01,Wednesday,-117.15837,32.74838
443,2021-03-24,15:04:00,Wednesday,-117.10193,32.75317
444,2021-02-11,09:02:08,Thursday,-117.17674,32.73687
445,2021-03-05,16:00:03,Friday,-117.16273,32.74998
446,2021-02-21,19:01:05,Sunday,-117.20498,32.75153
447,2021-02-21,15:05:00,Sunday,-117.25492,32.79471
448,2021-03-03,11:01:09,Wednesday,-117.11938,32.91734
449,2021-02-18,18:01:02,Thursday,-117.09375,32.69679
450,2021-02-28,12:00:00,Sunday,-117.22657,32.80785
451,2021-03-28,17:00:00,Sunday,-117.16622,32.75199
452,2021-03-30,22:04:05,Tuesday,-117.2373,32.75412
453,2021-03-09,14:05:05,Tuesday,-117.09605,32.7477
454,2021-03-12,05:02:05,Friday,-117.07953,32.74584
455,2021-03-06,13:00:00,Saturday,-117.21655,32.80667
456,2021-03-06,07:02:04,Saturday,-117.06296,33.04286
457,2021-03-21,10:00:00,Sunday,-117.23302,32.74979
458,2021-03-23,09:00:07,Tuesday,-117.085,32.70451
