NUMBER,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE
4381,2021,2021-08-24,737,2,-117.10845947265624,32.868282318115234
4382,2021,2021-08-25,1335,3,-117.117919921875,32.714569091796875
4383,2021,2021-08-26,905,4,-117.08343505859376,32.718624114990234
4384,2021,2021-08-26,2135,4,-117.10945129394533,32.71810531616211
4385,2021,2021-08-27,235,5,-117.0326919555664,32.544307708740234
4386,2021,2021-08-21,623,6,-117.12537384033205,32.757171630859375
4387,2021,2021-08-25,2045,3,-117.1279754638672,32.764434814453125
4388,2021,2021-08-23,20,1,-117.14752197265624,32.709190368652344
4389,2021,2021-08-29,505,7,-117.15557861328124,32.73402786254883
4390,2021,2021-09-01,604,3,-117.111572265625,32.862503051757805
4391,2021,2021-08-27,1250,5,-117.03821563720705,32.57801818847656
4392,2021,2021-08-15,330,7,-117.18344116210938,32.856441497802734
4393,2021,2021-08-26,550,4,-117.06015014648438,32.854469299316406
4394,2021,2021-09-01,2248,3,-117.16416931152344,32.72342300415039
4395,2021,2021-08-19,2235,4,-117.16615295410156,32.690486907958984
4396,2020,2020-09-28,909,1,-117.25389862060548,32.79136657714844
4397,2021,2021-09-03,1545,5,-117.10952758789062,32.71810531616211
4398,2021,2021-08-17,612,2,-117.09263610839844,32.71803283691406
4399,2021,2021-09-02,1537,4,-117.03650665283205,32.5906982421875
4400,2021,2021-09-02,1555,4,-117.12118530273438,32.83820343017578
4401,2021,2021-09-14,810,2,-117.11283111572266,32.77777862548828
4402,2021,2021-09-03,1925,5,-117.0425262451172,32.557411193847656
4403,2021,2021-09-07,1753,2,-117.06974792480467,32.727745056152344
4404,2021,2021-08-31,1540,2,-117.18929290771484,32.86368179321289
4405,2020,2020-10-06,1800,2,-117.0266571044922,32.717342376708984
4406,2021,2021-09-02,1430,4,-117.11212921142578,32.933319091796875
4407,2021,2021-09-02,1605,4,-117.11847686767578,32.84611892700195
4408,2021,2021-09-14,2024,2,-117.09586334228516,32.71903610229492
4409,2021,2021-08-19,1550,4,-117.12223052978516,32.748538970947266
4410,2021,2021-09-13,1545,1,-117.12291717529295,32.7757568359375
4411,2021,2021-09-13,1704,1,-117.11878967285156,32.71220779418945
4412,2020,2020-09-30,1338,3,-117.16919708251952,32.71577072143555
4413,2021,2021-09-16,1700,4,-117.1493682861328,32.81719970703125
4414,2021,2021-09-11,318,6,-117.1022491455078,32.95328521728516
4415,2021,2021-09-19,1545,7,-117.11791229248048,32.846946716308594
4416,2021,2021-07-31,230,6,-117.15306854248048,32.80815124511719
4417,2021,2021-09-19,305,7,-117.11260986328124,32.77850341796875
4418,2021,2021-09-23,1335,4,-117.0969009399414,32.841411590576165
4419,2021,2021-06-12,2240,6,-117.12730407714844,32.76226806640625
4420,2021,2021-09-25,1445,6,-117.15537261962892,32.724205017089844
4421,2021,2021-09-24,1445,5,-117.15056610107422,32.802215576171875
4422,2021,2021-09-12,15,7,-117.10811614990234,32.77858352661133
4423,2021,2021-08-28,1410,6,-117.1165771484375,32.89995193481445
4424,2021,2021-07-27,2234,2,-117.24363708496094,32.94878005981445
4425,2021,2021-09-19,1,7,-117.16146850585938,32.76443862915039
4426,2021,2021-09-21,2035,2,-117.00263214111328,32.566280364990234
4427,2021,2021-09-28,955,2,-117.0692138671875,33.06219482421875
4428,2020,2020-09-25,1550,5,-117.24777221679688,32.80318832397461
4429,2020,2020-09-29,1603,2,-117.11731719970705,32.76333999633789
4430,2020,2020-09-29,1114,2,-117.0892333984375,32.573509216308594
4431,2020,2020-09-26,1620,6,-117.1218032836914,32.71173858642578
4432,2020,2020-09-28,1700,1,-117.16985321044922,32.72513961791992
4433,2020,2020-09-28,1910,1,-117.01911163330078,32.7932014465332
4434,2020,2020-09-28,1145,1,-117.15328979492188,32.832332611083984
4435,2021,2021-09-24,1315,5,-117.11125946044922,32.669639587402344
4436,2021,2021-09-16,1730,4,-117.10903167724608,32.757991790771484
4437,2020,2020-10-04,2310,7,-117.05126190185548,32.684608459472656
4438,2020,2020-10-05,238,1,-117.02871704101562,32.5442008972168
4439,2021,2021-09-27,1310,1,-117.03427886962892,32.54410171508789
4440,2021,2021-09-30,1335,4,-117.12692260742188,32.69461441040039
4441,2021,2021-10-02,120,6,-117.19220733642578,32.76047134399414
4442,2021,2021-10-07,1525,4,-117.16177368164062,32.75892639160156
4443,2021,2021-10-06,838,3,-117.11489105224608,32.85353469848633
4444,2021,2021-09-30,740,4,-117.112548828125,32.77872085571289
4445,2021,2021-10-08,655,5,-117.08008575439452,33.00911331176758
4446,2021,2021-09-30,2150,4,-116.95662689208984,32.56432342529297
4447,2021,2021-10-04,1929,1,-117.13197326660156,32.772193908691406
4448,2021,2021-10-06,1530,3,-117.07993316650392,33.00886917114258
4449,2021,2021-10-06,412,3,-117.1104736328125,32.766658782958984
4450,2020,2020-09-19,707,6,-117.13265228271484,32.755401611328125
4451,2020,2020-09-25,910,5,-117.08601379394533,32.77006912231445
4452,2021,2021-10-08,725,5,-117.07057189941406,32.564800262451165
4453,2021,2021-10-08,1555,5,-117.15987396240234,32.7227897644043
4454,2020,2020-10-07,1620,3,-117.06802368164062,32.80963134765625
4455,2020,2020-10-04,1715,7,-117.17031860351562,32.79378128051758
4456,2020,2020-10-05,1909,1,-117.20615386962892,32.82770919799805
4457,2020,2020-10-05,1855,1,-117.09957122802734,32.576499938964844
4458,2021,2021-10-11,2209,1,-117.12163543701172,32.955669403076165
4459,2020,2020-10-01,1714,4,-117.1252212524414,32.75035095214844
4460,2020,2020-10-02,2120,5,-117.21520233154295,32.801849365234375
4461,2020,2020-10-02,2238,5,-117.20850372314452,32.865421295166016
4462,2021,2021-09-22,1637,3,-117.12246704101562,32.7485466003418
4463,2021,2021-10-10,1435,7,-117.14665985107422,32.76731491088867
4464,2021,2021-10-10,1112,7,-117.23503875732422,32.83955001831055
4465,2021,2021-10-04,2325,1,-117.14877319335938,32.721805572509766
4466,2021,2021-10-05,1248,2,-117.09374237060548,32.718364715576165
4467,2021,2021-10-10,27,7,-117.12926483154295,32.7724609375
4468,2021,2021-10-11,1635,1,-117.10995483398438,32.6745719909668
4469,2021,2021-09-01,1535,3,-117.24986267089844,32.970909118652344
4470,2021,2021-10-17,1717,7,-117.20514678955078,32.7624397277832
4471,2021,2021-10-15,717,5,-117.07980346679688,32.721099853515625
4472,2021,2021-10-13,1845,3,-117.18382263183594,32.759368896484375
4473,2021,2021-10-12,1815,2,-117.12647247314452,32.75936508178711
4474,2021,2021-10-01,1635,5,-117.09615325927734,32.71923065185547
4475,2021,2021-10-19,1445,2,-117.15392303466795,32.76543426513672
4476,2021,2021-04-21,2104,3,-117.15630340576172,32.72679901123047
4477,2021,2021-09-16,1530,4,-117.22820281982422,32.91061782836914
4478,2021,2021-10-20,1610,3,-117.16204833984376,32.78395462036133
4479,2021,2021-10-17,157,7,-117.11373138427734,32.77848052978516
4480,2021,2021-10-19,610,2,-117.13662719726562,32.69684982299805
4481,2021,2021-10-25,1545,1,-117.2263412475586,32.90779113769531
4482,2021,2021-10-21,2205,4,-117.15904998779295,32.8160400390625
4483,2021,2021-10-24,1152,7,-117.19155883789062,32.7603645324707
4484,2020,2020-08-26,1836,3,-117.1203842163086,32.749794006347656
4485,2021,2021-10-16,1118,6,-117.16971588134766,32.967002868652344
4486,2021,2021-10-16,1230,6,-117.12775421142578,32.77336120605469
4487,2021,2021-10-17,1835,7,-117.13519287109376,32.77597427368164
4488,2021,2021-10-20,1700,3,-117.1035385131836,32.71549987792969
4489,2021,2021-10-22,1518,5,-117.15617370605467,32.74801254272461
4490,2021,2021-10-22,1145,5,-117.14826202392578,32.720802307128906
4491,2021,2021-10-20,1925,3,-117.11660003662108,32.91286849975586
4492,2021,2021-06-01,31,2,-117.18742370605467,32.955055236816406
4493,2020,2020-09-24,930,4,-117.2557373046875,32.7214469909668
4494,2021,2021-09-30,1650,4,-117.18937683105467,32.745609283447266
4495,2021,2021-10-31,930,7,-117.15923309326172,32.79133224487305
4496,2020,2020-09-18,1932,5,-117.17031860351562,32.79378128051758
4497,2021,2021-10-22,1605,5,-117.04853057861328,32.552589416503906
4498,2020,2020-09-21,1139,1,-117.19893646240234,32.74502944946289
4499,2021,2021-10-25,1835,1,-117.12972259521484,32.77146911621094
4500,2020,2020-09-24,1830,4,-117.14005279541016,32.745601654052734
4501,2020,2020-09-23,1121,3,-117.15956878662108,32.7451286315918
4502,2020,2020-09-23,548,3,-117.0609893798828,33.041229248046875
4503,2021,2021-10-29,1510,5,-117.07991790771484,33.01064682006836
